Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
254.  ;Posłaniec;Lowry Lois;2015;237;fantastyka młodzieżowa;;;;;
256.  ;Syn;Lowry Lois;2015;387;fantastyka młodzieżowa;;;;;
258.  ;Dotyk Julii, tom 2, Sekret Julii ;Mafi Tahereh;2013;437;fantastyka młodzieżowa;;;;;
257.  ;Dotyk Julii;Mafi Tahereh;2014;330;fantastyka młodzieżowa;;;;;
259.  ;Dotyk Julii, tom 3, Dar Julii;Mafi Tahereh;2014;383;fantastyka młodzieżowa;;;;;
260.  ;Pierścień i róża;Makepeace Thackey William;2004;131;literatura dziecięca;;;;;
261.  ;Diossos;Makowiecki Witold;2006;215;literatura dziecięca;;;;;
262.  ;Bezgrzeszne lata;Makuszyński Kornel;1986;158;literatura piękna;;;;;
263.  ;Panna z mokrą głową;Makuszyński Kornel;1996;199;literatura piękna;;;;;
264.  ;Czerwone kszesło;Maleszka Andrzej;2009;239;fantastyka dziecięca;;;;;
